-105.277847, 40.011684, 04/11/2015, 06:04:54
-105.277854, 40.011692, 04/11/2015, 06:04:56
-105.277854, 40.011707, 04/11/2015, 06:04:58
-105.277854, 40.011718, 04/11/2015, 06:05:00
-105.277862, 40.011745, 04/11/2015, 06:05:02
-105.277870, 40.011768, 04/11/2015, 06:05:04
-105.277877, 40.011791, 04/11/2015, 06:05:06
-105.277885, 40.011814, 04/11/2015, 06:05:08
-105.277893, 40.011844, 04/11/2015, 06:05:10
-105.277900, 40.011871, 04/11/2015, 06:05:12
-105.277923, 40.011894, 04/11/2015, 06:05:14
-105.277931, 40.011924, 04/11/2015, 06:05:16
-105.277938, 40.011951, 04/11/2015, 06:05:18
-105.277938, 40.011974, 04/11/2015, 06:05:20
-105.277954, 40.012004, 04/11/2015, 06:05:22
-105.277961, 40.012020, 04/11/2015, 06:05:24
-105.277976, 40.012039, 04/11/2015, 06:05:26
-105.277976, 40.012046, 04/11/2015, 06:05:28
-105.277984, 40.012081, 04/11/2015, 06:05:30
-105.277999, 40.012104, 04/11/2015, 06:05:32
-105.278022, 40.012142, 04/11/2015, 06:05:35
-105.278030, 40.012161, 04/11/2015, 06:05:37
-105.278045, 40.012176, 04/11/2015, 06:05:39
-105.278053, 40.012207, 04/11/2015, 06:05:41
-105.278060, 40.012233, 04/11/2015, 06:05:43
-105.278083, 40.012248, 04/11/2015, 06:05:45
-105.278099, 40.012271, 04/11/2015, 06:05:47
-105.278114, 40.012294, 04/11/2015, 06:05:49
-105.278129, 40.012329, 04/11/2015, 06:05:51
-105.278137, 40.012359, 04/11/2015, 06:05:53
-105.278160, 40.012386, 04/11/2015, 06:05:55
-105.278175, 40.012413, 04/11/2015, 06:05:57
-105.278190, 40.012439, 04/11/2015, 06:05:59
-105.278213, 40.012470, 04/11/2015, 06:06:01
-105.278228, 40.012496, 04/11/2015, 06:06:03
-105.278251, 40.012519, 04/11/2015, 06:06:05
-105.278266, 40.012546, 04/11/2015, 06:06:07
-105.278289, 40.012573, 04/11/2015, 06:06:09
-105.278297, 40.012592, 04/11/2015, 06:06:11
-105.278305, 40.012615, 04/11/2015, 06:06:13
-105.278320, 40.012649, 04/11/2015, 06:06:15
-105.278327, 40.012680, 04/11/2015, 06:06:17
-105.278350, 40.012710, 04/11/2015, 06:06:19
-105.278366, 40.012737, 04/11/2015, 06:06:21
-105.278373, 40.012752, 04/11/2015, 06:06:23
-105.278381, 40.012763, 04/11/2015, 06:06:25
-105.278396, 40.012763, 04/11/2015, 06:06:27
-105.278419, 40.012760, 04/11/2015, 06:06:29
-105.278442, 40.012752, 04/11/2015, 06:06:31
-105.278465, 40.012737, 04/11/2015, 06:06:33
-105.278495, 40.012737, 04/11/2015, 06:06:35
-105.278518, 40.012737, 04/11/2015, 06:06:37
-105.278549, 40.012733, 04/11/2015, 06:06:39
-105.278602, 40.012725, 04/11/2015, 06:06:42
-105.278640, 40.012729, 04/11/2015, 06:06:44
-105.278671, 40.012725, 04/11/2015, 06:06:46
-105.278709, 40.012725, 04/11/2015, 06:06:48
-105.278762, 40.012729, 04/11/2015, 06:06:50
-105.278800, 40.012733, 04/11/2015, 06:06:52
-105.278823, 40.012714, 04/11/2015, 06:06:54
-105.278846, 40.012699, 04/11/2015, 06:06:56
-105.278877, 40.012687, 04/11/2015, 06:06:58
-105.278923, 40.012680, 04/11/2015, 06:07:00
-105.278953, 40.012668, 04/11/2015, 06:07:02
-105.278991, 40.012664, 04/11/2015, 06:07:04
-105.279029, 40.012649, 04/11/2015, 06:07:06
-105.279060, 40.012615, 04/11/2015, 06:07:08
-105.279106, 40.012615, 04/11/2015, 06:07:10
-105.279144, 40.012607, 04/11/2015, 06:07:12
-105.279167, 40.012599, 04/11/2015, 06:07:14
-105.279182, 40.012603, 04/11/2015, 06:07:16
-105.279212, 40.012596, 04/11/2015, 06:07:18
-105.279251, 40.012584, 04/11/2015, 06:07:20
-105.279281, 40.012580, 04/11/2015, 06:07:22
-105.279319, 40.012577, 04/11/2015, 06:07:24
-105.279350, 40.012588, 04/11/2015, 06:07:26
-105.279380, 40.012580, 04/11/2015, 06:07:28
-105.279418, 40.012577, 04/11/2015, 06:07:30
-105.279457, 40.012569, 04/11/2015, 06:07:32
-105.279487, 40.012561, 04/11/2015, 06:07:34
-105.279525, 40.012565, 04/11/2015, 06:07:36
-105.279556, 40.012561, 04/11/2015, 06:07:38
-105.279602, 40.012561, 04/11/2015, 06:07:40
-105.279632, 40.012550, 04/11/2015, 06:07:42
-105.279663, 40.012546, 04/11/2015, 06:07:44
-105.279693, 40.012538, 04/11/2015, 06:07:46
-105.279716, 40.012531, 04/11/2015, 06:07:48
-105.279769, 40.012527, 04/11/2015, 06:07:51
-105.279808, 40.012519, 04/11/2015, 06:07:53
-105.279838, 40.012512, 04/11/2015, 06:07:55
-105.279869, 40.012508, 04/11/2015, 06:07:57
-105.279907, 40.012496, 04/11/2015, 06:07:59
-105.279937, 40.012493, 04/11/2015, 06:08:01
-105.279975, 40.012481, 04/11/2015, 06:08:03
-105.280014, 40.012466, 04/11/2015, 06:08:05
-105.280044, 40.012466, 04/11/2015, 06:08:07
-105.280082, 40.012454, 04/11/2015, 06:08:09
-105.280120, 40.012451, 04/11/2015, 06:08:11
-105.280143, 40.012443, 04/11/2015, 06:08:13
-105.280174, 40.012432, 04/11/2015, 06:08:15
-105.280212, 40.012413, 04/11/2015, 06:08:17
-105.280235, 40.012397, 04/11/2015, 06:08:19
-105.280250, 40.012374, 04/11/2015, 06:08:21
-105.280273, 40.012363, 04/11/2015, 06:08:23
-105.280296, 40.012344, 04/11/2015, 06:08:25
-105.280303, 40.012329, 04/11/2015, 06:08:27
-105.280296, 40.012306, 04/11/2015, 06:08:29
-105.280288, 40.012290, 04/11/2015, 06:08:31
-105.280281, 40.012268, 04/11/2015, 06:08:33
-105.280273, 40.012256, 04/11/2015, 06:08:35
-105.280258, 40.012252, 04/11/2015, 06:08:37
-105.280242, 40.012248, 04/11/2015, 06:08:39
-105.280242, 40.012248, 04/11/2015, 06:08:41
-105.280242, 40.012237, 04/11/2015, 06:08:43
-105.280235, 40.012226, 04/11/2015, 06:08:45
-105.280227, 40.012222, 04/11/2015, 06:08:47
-105.280212, 40.012214, 04/11/2015, 06:08:49
-105.280212, 40.012210, 04/11/2015, 06:08:51
-105.280227, 40.012207, 04/11/2015, 06:08:53
